"","new","subsidi","nev","world","car","shanghai","top","energi","year","china","tesla","technolog","manufactur","market","model","electr","compani","vehicl","byd","batteri"
"Bat1.txt",0,0,0,0,0,0,3,0,0,0,0,0,3,2,0,1,0,1,0,4
"Bat2.txt",0,0,0,1,0,0,2,0,0,0,0,0,3,2,0,0,4,0,0,6
"Bat3.txt",0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,5
"Bat4.txt",0,0,0,2,0,0,0,1,2,0,0,0,0,4,0,1,1,3,1,2
"Bat5.txt",0,0,0,0,1,0,0,2,1,0,0,1,0,0,1,0,1,1,0,2
"Bat6.txt",0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,3,0
"Bat7.txt",1,4,0,0,0,0,0,1,2,2,0,0,0,0,0,0,2,1,2,0
"BYD1.txt",1,0,2,1,1,0,0,1,1,0,0,2,1,0,0,2,1,1,4,3
"BYD2.txt",1,0,2,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,6,0
"BYD3.txt",0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,3,5,4
"BYD4.txt",1,0,1,0,0,0,0,1,1,0,0,5,1,0,0,1,0,2,5,3
"BYD5.txt",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,7
"Tesla1.txt",1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Tesla2.txt",0,0,0,0,0,1,0,0,0,0,2,0,0,0,4,2,0,2,0,0
"Tesla3.txt",0,0,0,0,1,2,0,0,0,1,3,0,1,0,5,1,1,1,0,0
"Tesla4.txt",0,1,0,0,2,1,0,0,0,5,2,0,1,1,2,2,2,1,1,0
